Match,Date,Teams,Ground,Result
46,05/05/2011,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 4 Wickets
47,06/05/2011,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 85 Runs
48,07/05/2011,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 10 Runs [D/L]
49,07/05/2011,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 32 Runs
50,08/05/2011,Royal Challengers Bangalore v Kochi Tuskers Kerala,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 9 Wickets
51,08/05/2011,Punjab Kings v Pune Warriors,"Mohali, Chandigarh",Pune Warriors won by 5 Wickets
52,09/05/2011,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 63 Runs
53,10/05/2011,Deccan Chargers v Pune Warriors,Hyderabad,Pune Warriors won by 6 Wickets
54,10/05/2011,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 76 Runs
55,11/05/2011,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Royal Challengers Bangalore won by 9 Wickets
56,12/05/2011,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 18 Runs
57,13/05/2011,Kochi Tuskers Kerala v Punjab Kings,Indore,Punjab Kings won by 6 Wickets
58,14/05/2011,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 4 Wickets [D/L]
59,14/05/2011,Mumbai Indians v Deccan Chargers,Mumbai,Deccan Chargers won by 10 Runs
60,15/05/2011,Punjab Kings v Delhi Capitals,Dharamsala,Punjab Kings won by 29 Runs
61,15/05/2011,Kochi Tuskers Kerala v Rajasthan Royals,Indore,Kochi Tuskers Kerala won by 8 Wickets
62,16/05/2011,Pune Warriors v Deccan Chargers,Mumbai,Deccan Chargers won by 6 Wickets
63,17/05/2011,Punjab Kings v Royal Challengers Bangalore,Dharamsala,Punjab Kings won by 111 Runs
64,18/05/2011,Chennai Super Kings v Kochi Tuskers Kerala,Chennai,Chennai Super Kings won by 11 Runs
65,19/05/2011,Pune Warriors v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 7 Wickets
66,20/05/2011,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 10 Wickets
67,21/05/2011,Punjab Kings v Deccan Chargers,Dharamsala,Deccan Chargers won by 82 Runs
68,21/05/2011,Delhi Capitals v Pune Warriors,Delhi,No result
69,22/05/2011,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 8 Wickets
70,22/05/2011,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 5 Wickets
1st Qualifying Final,24/05/2011,Royal Challengers Bangalore v Chennai Super Kings,Mumbai,Chennai Super Kings won by 6 Wickets
Elimination Final,25/05/2011,Kolkata Knight Riders v Mumbai Indians,Mumbai,Mumbai Indians won by 4 Wickets
2nd Qualifying Final,27/05/2011,Royal Challengers Bangalore v Mumbai Indians,Chennai,Royal Challengers Bangalore won by 43 Runs
Final,28/05/2011,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 58 Runs
1,04/04/2012,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 8 Wickets
2,05/04/2012,Kolkata Knight Riders v Delhi Capitals,Kolkata,Delhi Capitals won by 8 Wickets
3,06/04/2012,Mumbai Indians v Pune Warriors,Mumbai,Pune Warriors won by 28 Runs
4,06/04/2012,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 31 Runs
5,07/04/2012,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 20 Runs
6,07/04/2012,Deccan Chargers v Chennai Super Kings,Visakhapatnam,Chennai Super Kings won by 74 Runs
7,08/04/2012,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 22 Runs
8,08/04/2012,Pune Warriors v Punjab Kings,Pune,Pune Warriors won by 22 Runs
9,09/04/2012,Deccan Chargers v Mumbai Indians,Visakhapatnam,Mumbai Indians won by 5 Wickets
10,10/04/2012,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 42 Runs
11,10/04/2012,Delhi Capitals v Chennai Super Kings,Delhi,Delhi Capitals won by 8 Wickets
12,11/04/2012,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 27 Runs
13,12/04/2012,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 5 Wickets
14,12/04/2012,Punjab Kings v Pune Warriors,"Mohali, Chandigarh",Punjab Kings won by 7 Wickets
15,13/04/2012,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 5 Wickets
16,14/04/2012,Pune Warriors v Chennai Super Kings,Pune,Pune Warriors won by 7 Wickets
17,15/04/2012,Kolkata Knight Riders v Punjab Kings,Kolkata,Punjab Kings won by 2 Runs
18,15/04/2012,Royal Challengers Bangalore v Rajasthan Royals,"Bengaluru, Bangalore",Rajasthan Royals won by 59 Runs
19,16/04/2012,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 7 Wickets
20,17/04/2012,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 5 Wickets
21,17/04/2012,Royal Challengers Bangalore v Pune Warriors,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 6 Wickets
22,18/04/2012,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Kolkata Knight Riders won by 8 Wickets
23,19/04/2012,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 5 Wickets
24,19/04/2012,Chennai Super Kings v Pune Warriors,Chennai,Chennai Super Kings won by 13 Runs
25,20/04/2012,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Royal Challengers Bangalore won by 5 Wickets
26,21/04/2012,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 7 Wickets
27,21/04/2012,Delhi Capitals v Pune Warriors,Delhi,Pune Warriors won by 20 Runs
28,22/04/2012,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 6 Wickets
29,22/04/2012,Deccan Chargers v Kolkata Knight Riders,Cuttack,Kolkata Knight Riders won by 5 Wickets
30,23/04/2012,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Royal Challengers Bangalore won by 46 Runs
31,24/04/2012,Pune Warriors v Delhi Capitals,Pune,Delhi Capitals won by 8 Wickets
32,24/04/2012,Kolkata Knight Riders v Deccan Chargers,Kolkata,Match abandoned
33,25/04/2012,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Mumbai Indians won by 4 Wickets
34,25/04/2012,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",No result
35,26/04/2012,Pune Warriors v Deccan Chargers,Pune,Deccan Chargers won by 18 Runs
36,27/04/2012,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 37 Runs
37,28/04/2012,Chennai Super Kings v Punjab Kings,Chennai,Punjab Kings won by 7 Runs
38,28/04/2012,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 47 Runs
39,29/04/2012,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 1 Run
40,29/04/2012,Mumbai Indians v Deccan Chargers,Mumbai,Mumbai Indians won by 5 Wickets
41,30/04/2012,Chennai Super Kings v Kolkata Knight Riders,Chennai,Kolkata Knight Riders won by 5 Wickets
42,01/05/2012,Deccan Chargers v Pune Warriors,Cuttack,Deccan Chargers won by 13 Runs
43,01/05/2012,Rajasthan Royals v Delhi Capitals,Jaipur,Delhi Capitals won by 6 Wickets
44,02/05/2012,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 4 Wickets
45,03/05/2012,Pune Warriors v Mumbai Indians,Pune,Mumbai Indians won by 1 Run
46,04/05/2012,Chennai Super Kings v Deccan Chargers,Chennai,Chennai Super Kings won by 10 Runs
47,05/05/2012,Kolkata Knight Riders v Pune Warriors,Kolkata,Kolkata Knight Riders won by 7 Runs
48,05/05/2012,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Rajasthan Royals won by 43 Runs
49,06/05/2012,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 2 Wickets
50,06/05/2012,Royal Challengers Bangalore v Deccan Chargers,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 5 Wickets
51,07/05/2012,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 6 Wickets
52,08/05/2012,Pune Warriors v Rajasthan Royals,Pune,Rajasthan Royals won by 7 Wickets
53,08/05/2012,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 25 Runs
54,09/05/2012,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 9 Wickets
55,10/05/2012,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets
56,10/05/2012,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets
57,11/05/2012,Pune Warriors v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 35 Runs
58,12/05/2012,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 27 Runs
59,12/05/2012,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 9 Wickets
60,13/05/2012,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 45 Runs
61,13/05/2012,Punjab Kings v Deccan Chargers,"Mohali, Chandigarh",Punjab Kings won by 4 Wickets
62,14/05/2012,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 5 Wickets
63,14/05/2012,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets
64,15/05/2012,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 5 Wickets
65,16/05/2012,Mumbai Indians v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 32 Runs
66,17/05/2012,Punjab Kings v Chennai Super Kings,Dharamsala,Punjab Kings won by 6 Wickets
67,17/05/2012,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 21 Runs
68,18/05/2012,Deccan Chargers v Rajasthan Royals,Hyderabad,Deccan Chargers won by 5 Wickets
69,19/05/2012,Punjab Kings v Delhi Capitals,Dharamsala,Delhi Capitals won by 6 Wickets
70,19/05/2012,Pune Warriors v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 34 Runs
71,20/05/2012,Deccan Chargers v Royal Challengers Bangalore,Hyderabad,Deccan Chargers won by 9 Runs
72,20/05/2012,Rajasthan Royals v Mumbai Indians,Jaipur,Mumbai Indians won by 10 Wickets
1st Qualifying Final,22/05/2012,Delhi Capitals v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 18 Runs
Elimination Final,23/05/2012,Chennai Super Kings v Mumbai Indians,"Bengaluru, Bangalore",Chennai Super Kings won by 3 Runs
2nd Qualifying Final,25/05/2012,Delhi Capitals v Chennai Super Kings,Chennai,Chennai Super Kings won by 86 Runs
Final,27/05/2012,Kolkata Knight Riders v Chennai Super Kings,Chennai,Kolkata Knight Riders won by 5 Wickets
1,03/04/2013,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 6 Wickets
2,04/04/2013,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 2 Runs
3,05/04/2013,Sunrisers Hyderabad v Pune Warriors,Hyderabad,Sunrisers Hyderabad won by 22 Runs
4,06/04/2013,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 5 Runs
5,06/04/2013,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 9 Runs
6,07/04/2013,Pune Warriors v Punjab Kings,Pune,Punjab Kings won by 8 Wickets
7,07/04/2013,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Match tied (Sunrisers Hyderabad won eliminator)
8,08/04/2013,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 19 Runs
10,09/04/2013,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 44 Runs
9,09/04/2013,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 7 Wickets
11,10/04/2013,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Chennai Super Kings won by 10 Wickets
12,11/04/2013,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 8 Wickets
13,11/04/2013,Pune Warriors v Rajasthan Royals,Pune,Pune Warriors won by 7 Wickets
14,12/04/2013,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 3 Wickets
15,13/04/2013,Mumbai Indians v Pune Warriors,Mumbai,Mumbai Indians won by 41 Runs
16,13/04/2013,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 4 Wickets
17,14/04/2013,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 48 Runs
18,14/04/2013,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets
19,15/04/2013,Chennai Super Kings v Pune Warriors,Chennai,Pune Warriors won by 24 Runs
20,16/04/2013,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Punjab Kings won by 4 Runs
21,16/04/2013,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Match tied (Royal Challengers Bangalore won eliminator)
22,17/04/2013,Pune Warriors v Sunrisers Hyderabad,Pune,Sunrisers Hyderabad won by 11 Runs
23,17/04/2013,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 87 Runs
24,18/04/2013,Chennai Super Kings v Delhi Capitals,Delhi,Chennai Super Kings won by 86 Runs
25,19/04/2013,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
26,20/04/2013,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 4 Wickets
27,20/04/2013,Royal Challengers Bangalore v Rajasthan Royals,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 7 Wickets
28,21/04/2013,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 9 Wickets
29,21/04/2013,Punjab Kings v Pune Warriors,"Mohali, Chandigarh",Punjab Kings won by 7 Wickets
30,22/04/2013,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 5 Wickets
31,23/04/2013,Royal Challengers Bangalore v Pune Warriors,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 130 Runs
32,23/04/2013,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 5 Wickets
33,24/04/2013,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 5 Wickets
34,25/04/2013,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 5 Wickets
35,26/04/2013,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets
36,27/04/2013,Sunrisers Hyderabad v Rajasthan Royals,Jaipur,Rajasthan Royals won by 8 Wickets
37,27/04/2013,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 58 Runs
38,28/04/2013,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 14 Runs
39,28/04/2013,Delhi Capitals v Pune Warriors,Raipur,Delhi Capitals won by 15 Runs
40,29/04/2013,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 4 Wickets
41,29/04/2013,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 4 Runs
42,30/04/2013,Chennai Super Kings v Pune Warriors,Pune,Chennai Super Kings won by 37 Runs
43,01/05/2013,Mumbai Indians v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 7 Wickets
44,01/05/2013,Delhi Capitals v Kolkata Knight Riders,Raipur,Delhi Capitals won by 7 Wickets
45,02/05/2013,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 15 Runs
46,02/05/2013,Pune Warriors v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 17 Runs
47,03/05/2013,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 8 Wickets
48,04/05/2013,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 6 Wickets
49,05/05/2013,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 60 Runs
50,05/05/2013,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 5 Wickets
51,06/05/2013,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets
52,07/05/2013,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 9 Wickets
53,07/05/2013,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 65 Runs
54,08/05/2013,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 77 Runs
55,09/05/2013,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Rajasthan Royals won by 8 Wickets
56,09/05/2013,Pune Warriors v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 46 Runs
57,10/05/2013,Royal Challengers Bangalore v Delhi Capitals,Delhi,Royal Challengers Bangalore won by 4 Runs
58,11/05/2013,Pune Warriors v Mumbai Indians,Pune,Mumbai Indians won by 5 Wickets
59,11/05/2013,Punjab Kings v Sunrisers Hyderabad,"Mohali, Chandigarh",Sunrisers Hyderabad won by 30 Runs
60,12/05/2013,Kolkata Knight Riders v Royal Challengers Bangalore,Ranchi,Kolkata Knight Riders won by 5 Wickets
61,12/05/2013,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 5 Wickets
62,13/05/2013,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 7 Wickets
63,14/05/2013,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 7 Wickets
64,14/05/2013,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 33 Runs
65,15/05/2013,Kolkata Knight Riders v Pune Warriors,Ranchi,Pune Warriors won by 7 Runs
66,15/05/2013,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 14 Runs
67,16/05/2013,Punjab Kings v Delhi Capitals,Dharamsala,Punjab Kings won by 7 Runs
68,17/05/2013,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 23 Runs
69,18/05/2013,Punjab Kings v Mumbai Indians,Dharamsala,Punjab Kings won by 50 Runs
70,18/05/2013,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 24 Runs
71,19/05/2013,Pune Warriors v Delhi Capitals,Pune,Pune Warriors won by 38 Runs
72,19/05/2013,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
1st Qualifying Final,21/05/2013,Chennai Super Kings v Mumbai Indians,Delhi,Chennai Super Kings won by 48 Runs
Elimination Final,22/05/2013,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 4 Wickets
2nd Qualifying Final,24/05/2013,Mumbai Indians v Rajasthan Royals,Kolkata,Mumbai Indians won by 4 Wickets
Final,26/05/2013,Chennai Super Kings v Mumbai Indians,Kolkata,Mumbai Indians won by 23 Runs
1,16/04/2014,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 41 Runs
2,17/04/2014,Royal Challengers Bangalore v Delhi Capitals,Sharjah,Royal Challengers Bangalore won by 8 Wickets
3,18/04/2014,Chennai Super Kings v Punjab Kings,Abu Dhabi,Punjab Kings won by 6 Wickets
4,18/04/2014,Sunrisers Hyderabad v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 4 Wickets
5,19/04/2014,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets
6,19/04/2014,Kolkata Knight Riders v Delhi Capitals,Dubai,Delhi Capitals won by 4 Wickets
7,20/04/2014,Rajasthan Royals v Punjab Kings,Sharjah,Punjab Kings won by 7 Wickets
8,21/04/2014,Chennai Super Kings v Delhi Capitals,Abu Dhabi,Chennai Super Kings won by 93 Runs
9,22/04/2014,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 72 Runs
10,23/04/2014,Chennai Super Kings v Rajasthan Royals,Dubai,Chennai Super Kings won by 7 Runs
11,24/04/2014,Royal Challengers Bangalore v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 2 Runs
12,25/04/2014,Sunrisers Hyderabad v Delhi Capitals,Dubai,Sunrisers Hyderabad won by 4 Runs
13,25/04/2014,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 7 Wickets
14,26/04/2014,Royal Challengers Bangalore v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 6 Wickets
15,26/04/2014,Kolkata Knight Riders v Punjab Kings,Abu Dhabi,Punjab Kings won by 23 Runs
16,27/04/2014,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 6 Wickets
17,27/04/2014,Sunrisers Hyderabad v Chennai Super Kings,Sharjah,Chennai Super Kings won by 5 Wickets
18,28/04/2014,Punjab Kings v Royal Challengers Bangalore,Dubai,Punjab Kings won by 5 Wickets
19,29/04/2014,Kolkata Knight Riders v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by Boundary Count
20,30/04/2014,Mumbai Indians v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 15 Runs
21,02/05/2014,Chennai Super Kings v Kolkata Knight Riders,Ranchi,Chennai Super Kings won by 34 Runs
22,03/05/2014,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 5 Wickets
23,03/05/2014,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 7 Wickets
24,04/05/2014,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 4 Wickets
25,05/05/2014,Rajasthan Royals v Kolkata Knight Riders,Ahmedabad,Rajasthan Royals won by 10 Runs
26,05/05/2014,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 8 Wickets
27,06/05/2014,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 19 Runs
28,07/05/2014,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 8 Wickets
29,07/05/2014,Punjab Kings v Chennai Super Kings,Cuttack,Punjab Kings won by 44 Runs
30,08/05/2014,Sunrisers Hyderabad v Rajasthan Royals,Ahmedabad,Sunrisers Hyderabad won by 32 Runs
31,09/05/2014,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 32 Runs
32,10/05/2014,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 8 Wickets [D/L]
33,10/05/2014,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 4 Wickets
34,11/05/2014,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 9 Wickets
35,11/05/2014,Royal Challengers Bangalore v Rajasthan Royals,"Bengaluru, Bangalore",Rajasthan Royals won by 5 Wickets
36,12/05/2014,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 7 Wickets
37,13/05/2014,Chennai Super Kings v Rajasthan Royals,Ranchi,Chennai Super Kings won by 5 Wickets
38,13/05/2014,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 16 Runs
39,14/05/2014,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Punjab Kings won by 6 Wickets
40,14/05/2014,Kolkata Knight Riders v Mumbai Indians,Cuttack,Kolkata Knight Riders won by 6 Wickets
41,15/05/2014,Rajasthan Royals v Delhi Capitals,Ahmedabad,Rajasthan Royals won by 62 Runs
42,18/05/2014,Chennai Super Kings v Royal Challengers Bangalore,Ranchi,Royal Challengers Bangalore won by 5 Wickets
